FID,feature_id,alt,ascendingI,BtmWdth,ChSlp,from_,gages,Kchan,lat,Length,link,lon,MusK,MusX,n,nCC,NHDWaterbo,order_,Qi,So,to,TopWdth,TopWdthCC
1943227,1943228,188.57,881477,2.07922,0.674441,8780425,NaN,0,36.1583,421,8780743,-79.1514,3600,0.2,0.06,0.12,-9999,1,0,0.005,8780747,3.46537,10.3961
1943226,1943227,187.75,789393,2.08826,0.673152,8780423,NaN,0,36.1589,421,8780741,-79.1499,3600,0.2,0.06,0.12,-9999,1,0,0.003,8780747,3.48043,10.4413
1962698,1962699,187.63,795406,3.72183,0.521663,8780411,NaN,0,36.1609,967,8780739,-79.143,3600,0.2,0.06,0.12,-9999,2,0,1.00E-05,8780745,6.20306,18.6092
1962697,1962698,189.01,795405,1.37097,0.810477,8780437,NaN,0,36.1568,360,8780737,-79.1408,3600,0.2,0.06,0.12,-9999,1,0,4.00E-03,8780745,2.28495,6.85485
1962696,1962697,186.16,860746,1.412,0.800001,8780259,NaN,0,36.2989,131,8780735,-79.0799,3600,0.2,0.06,0.12,-9999,1,0,3.00E-03,8780261,2.35334,7.06002
2012861,2012862,124.71,1236019,10.1176,0.335566,8780731,NaN,0,36.0425,1337,8780733,-79.0106,3600,0.2,0.055,0.11,-9999,4,0,2.00E-03,8780611,16.8627,50.588
2012517,2012518,124.71,1698309,9.82646,0.339916,8780729,NaN,0,36.053,936,8780731,-79.0121,3600,0.2,0.055,0.11,-9999,4,0,1.00E-05,8780733,16.3774,49.1323
2012167,2012168,124.71,1594436,9.79681,0.34037,8780585,NaN,0,36.0599,1140,8780729,-79.0102,3600,0.2,0.055,0.11,-9999,4,0,1.00E-05,8780731,16.328,48.9841
2011443,2011444,127.62,1340732,9.71947,0.341562,8780565,NaN,0,36.0684,472,8780727,-79.0141,3600,0.2,0.055,0.11,-9999,4,0,0.006,8780583,16.1991,48.5974
2005101,2005102,160.97,1646249,7.22472,0.389317,8780553,NaN,0,36.0807,625,8780725,-79.1388,3600,0.2,0.055,0.11,-9999,3,0,0.002,8780569,12.0412,36.1236
1906761,1906762,212.31,1265763,2.68056,0.602937,0,NaN,0,36.2581,4565,8780723,-79.1078,3600,0.2,0.06,0.12,-9999,1,0,0.006,8780315,4.4676,13.4028
1906760,1906761,218.16,1232781,1.86316,0.707891,0,NaN,0,36.2487,1633,8780721,-79.0975,3600,0.2,0.06,0.12,-9999,1,0,1.50E-02,8780335,3.10526,9.31579
1962695,1962696,176.63,795404,3.6451,0.526479,8780341,NaN,0,36.2499,2858,8780719,-79.0436,3600,0.2,0.06,0.12,-9999,2,0,2.00E-03,8780333,6.07517,18.2255
1943225,1943226,178.91,789392,3.56996,0.53134,8780787,NaN,0,36.2402,5136,8780717,-79.0161,3600,0.2,0.06,0.12,-9999,1,0,4.00E-03,8780325,5.94993,17.8498
1906759,1906760,220.15,1265762,2.27429,0.64828,0,NaN,0,36.0281,2883,8780665,-79.1396,3600,0.2,0.06,0.12,-9999,1,0,1.00E-02,8780635,3.79049,11.3715
1943224,1943225,157.7,860171,1.95952,0.692317,8780835,NaN,0,36.0237,1161,8780663,-79.0608,3600,0.2,0.06,0.12,-9999,1,0,0.011,8780647,3.26587,9.7976
1943223,1943224,153.15,841706,2.61112,0.609959,8780831,NaN,0,36.024,3372,8780661,-79.0221,3600,0.2,0.06,0.12,-9999,1,0,0.007,8780639,4.35186,13.0556
1906758,1906759,199.51,1281865,2.30197,0.644829,0,NaN,0,36.0336,2867,8780659,-79.1053,3600,0.2,0.06,0.12,-9999,1,0,0.007,8780625,3.83661,11.5098
1906757,1906758,173.05,1297783,2.25004,0.651353,0,NaN,0,36.0298,2425,8780657,-79.0722,3600,0.2,0.06,0.12,-9999,1,0,0.012,8780651,3.75006,11.2502
1906756,1906757,202.57,1335067,1.71182,0.734849,0,NaN,0,36.0304,1428,8780655,-79.1581,3600,0.2,0.06,0.12,-9999,1,0,1.10E-02,8780643,2.85303,8.55909
1943222,1943223,178.1,789391,2.85046,0.586809,8780825,NaN,0,36.0393,3284,8780653,-79.0668,3600,0.2,0.06,0.12,-9999,1,0,0.01,8780651,4.75077,14.2523
1962694,1962695,146.25,853333,3.28994,0.550837,8780657,NaN,0,36.0271,554,8780651,-79.0603,3600,0.2,0.06,0.12,-9999,2,0,3.00E-03,8780647,5.48323,16.4497
1943221,1943222,138.25,841705,2.20096,0.657721,8778119,NaN,0,36.0267,1845,8780649,-79.0084,3600,0.2,0.06,0.12,-9999,1,0,0.005,8780639,3.66827,11.0048
1973304,1973305,144.65,1587379,3.97,0.507016,8780663,NaN,0,36.0388,4202,8780647,-79.0411,3600,0.2,0.06,0.12,-9999,2,0,4.00E-03,8780619,6.61667,19.85
1906755,1906756,200.55,1232780,1.78664,0.721109,0,NaN,0,36.034,976,8780645,-79.1181,3600,0.2,0.06,0.12,-9999,1,0,0.01,8780641,2.97774,8.93322
1943220,1943221,188.81,886455,2.40019,0.633051,8780655,NaN,0,36.0472,3083,8780643,-79.1493,3600,0.2,0.06,0.12,-9999,1,0,8.00E-03,8780597,4.00032,12.001
1943219,1943220,192.69,789390,2.18748,0.659506,8780645,NaN,0,36.041,1508,8780641,-79.1076,3600,0.2,0.06,0.12,-9999,1,0,8.00E-03,8780625,3.6458,10.9374
1962693,1962694,128.87,795403,3.23989,0.554575,8780661,NaN,0,36.0417,1888,8780639,-79.0061,3600,0.2,0.06,0.12,-9999,2,0,6.00E-03,8780853,5.39982,16.1995
1943218,1943219,199.91,824618,0.983653,0.938323,8780829,NaN,0,36.0395,170,8780637,-79.1436,3600,0.2,0.06,0.12,-9999,1,0,0.039,8780629,1.63942,4.91827
1962692,1962693,193.36,866271,2.34294,0.63983,8780665,NaN,0,36.0401,53,8780635,-79.1428,3600,0.2,0.06,0.12,-9999,2,0,1.00E-05,8780629,3.9049,11.7147
1943217,1943218,193.36,860170,1.00268,0.930425,8780827,NaN,0,36.04,118,8780633,-79.1419,3600,0.2,0.06,0.12,-9999,1,0,1.00E-03,8780635,1.67114,5.01341
1943216,1943217,201.5,879302,2.36574,0.637102,8780833,NaN,0,36.0466,2317,8780631,-79.1874,3600,0.2,0.06,0.12,-9999,1,0,8.00E-03,8780603,3.9429,11.8287
